Condition,Test,Statistical Approach,Estimate,SE,LCI,UCI
In benign environments,Female > Male,REML,0.081,0.029,0.025,0.14
In benign environments,Female > Male,Bayesian,0.081,0.029,0.025,0.137
In stressful environments,Female > Male,REML,0.296,0.044,0.211,0.38
In stressful environments,Female > Male,Bayesian,0.296,0.044,0.209,0.382
For Females,Stressful > Benign,REML,0.095,0.037,0.023,0.17
For Females,Stressful > Benign,Bayesian,0.095,0.036,0.024,0.166
For Males,Benign > Stressful,REML,0.121,0.041,0.04,0.201
For Males,Benign > Stressful,Bayesian,0.12,0.041,0.039,0.2
For Both,Stressful > Benign,REML,0.03,0.074,0.114,0.17
For Both,Stressful > Benign,Bayesian,0.028,0.074,0.118,0.173