x,Sexual system,Karyotype,Genotypic,Environmental SD
Onthophagus taurus,gonochorous,XY,male heterogametic,
Drosophila melanogaster,,XY,,
Drosophila simulans,,XY,,
Tribolium castaneum,gonochorous,XY,male heterogametic,
Drosophila pseudoobscura,,XY,,
Mus domesticus,,XY,,
Callosobruchus maculatus,gonochorous,XY,male heterogametic,
Megabruchidius dorsalis,,,,
Caenorhabditis remanei,,,,
Rhizoglyphus robini,gonochorous,,,
Sepsis cynipsea,,,,
Drosophila serrata,,,,
Teleogryllus oceanicus,,,,
Mus musculus,,,,
Poecilia reticulata,gonochoristic,homomorphic,male heterogametic,TSD